241 1444
188 6 0.00704225
188 14 0.0509804
188 158 0.00704225
188 160 0.0306513
188 55 0.0149254
190 130 0.0323741
190 185 0.0354331
192 162 0.00722022
192 102 0.010274
192 62 0.00696864
192 178 0.0169492
192 56 0.00714286
192 55 0.00714286
192 11 0.0100334
192 97 0.00677966
192 208 0.0225564
192 92 0.00675676
192 115 0.0238908
192 169 0.00357143
193 10 0.0471014
193 97 0.0431655
194 231 0.0442177
194 116 0.0264901
195 145 0.0322581
195 181 0.0333333
195 9 0.0285714
195 88 0.040404
196 203 0.0669291
196 236 0.0344828
196 9 0.0346154
196 146 0.0509091
198 116 0.0338983
198 185 0.0766284
198 193 0.0214286
198 85 0.0213523
199 222 0.0277778
199 51 0.0721649
199 17 0.0675676
199 221 0.0130719
199 231 0.0163399
199 146 0.0363036
200 74 0.0224359
200 238 0.023622
200 12 0.0236486
200 17 0.0166667
200 213 0.0202703
200 11 0.00986842
200 184 0.0142857
200 197 0.00380228
200 23 0.0274914
202 60 0.0430108
202 105 0.013986
202 149 0.0212014
202 211 0.0408805
202 5 0.0547945
202 44 0.0518519
202 64 0.0267559
202 181 0.0798611
202 154 0.0301003
203 216 0.0695971
204 222 0.0545455
204 186 0.0358423
204 76 0.0699301
204 54 0.0549451
204 165 0.0131148
204 20 0.0282686
205 51 0.0398551
205 186 0.0384615
205 222 0.0585938
206 107 0.00689655
206 236 0.00738007
206 191 0.0189394
206 216 0.020979
206 161 0.0250896
206 17 0.0243902
207 139 0.00735294
207 171 0.0283688
207 77 0.0150943
207 61 0.0104167
207 237 0.0318725
207 103 0.0970149
207 133 0.0343511
207 71 0.0246914
207 206 0.0264151
208 74 0.0526316
209 6 0.0212014
209 189 0.0817844
209 42 0.0342205
209 3 0.0698529
209 20 0.0418251
209 45 0.0498084
209 129 0.0389105
209 234 0.0315789
209 93 0.0269231
209 35 0.0390071
210 151 0.0343511
210 81 0.0209059
210 147 0.0213523
210 216 0.0357143
210 13 0.0322581
210 174 0.0244755
211 26 0.00638978
211 82 0.0246154
211 92 0.0407524
211 53 0.0330033
211 206 0.0261438
212 229 0.0266667
212 51 0.0544218
212 149 0.0618182
212 147 0.0510204
212 220 0.0230263
212 194 0.0576271
212 165 0.012945
212 160 0.0353357
212 49 0.047138
212 157 0.00967742
213 65 0.0266667
213 199 0.0364238
214 44 0.0597015
214 199 0.0756014
214 148 0.0549451
214 8 0.0364238
214 193 0.0469314
214 64 0.03367
214 213 0.0440678
215 181 0.0929368
215 116 0.028169
215 19 0.0104895
217 194 0.0734266
217 185 0.0599251
217 147 0.0410959
217 174 0.0472973
217 56 0.0505415
217 96 0.0557491
218 125 0.0541516
218 231 0.0442177
218 63 0.0165017
218 157 0.0332226
218 100 0.0229508
218 44 0.0142349
218 56 0.0808824
219 172 0.0110294
219 138 0.0104167
219 15 0.0243902
219 89 0.0576923
219 212 0.0422535
219 52 0.0613718
219 192 0.0143885
219 106 0.0377358
219 137 0.0387324
219 129 0.0465116
219 39 0.021978
219 85 0.0184502
219 175 0.0348837
219 57 0.00967742
219 8 0.0797101
220 51 0.0442177
220 10 0.0696864
220 223 0.011194
220 165 0.0801394
220 181 0.047138
220 206 0.0210526
220 186 0.0545455
220 61 0.00323625
221 194 0.030303
221 125 0.0322581
221 9 0.0106007
221 141 0.0165563
221 13 0.0410959
221 85 0.0212766
221 165 0.00655738
222 237 0.0195313
222 56 0.0298507
222 112 0.0772059
222 31 0.0339623
223 191 0.041841
224 114 0.040404
224 53 0.0583942
224 165 0.0231023
224 201 0.0437956
225 100 0.0218341
225 53 0.0289855
226 123 0.0103448
226 48 0.0261438
226 175 0.00352113
226 195 0.00323625
226 94 0.0096463
226 9 0.020979
226 120 0.0230263
226 124 0.010274
226 106 0.0138408
226 14 0.0318021
226 234 0.00318471
226 159 0.0340136
226 12 0.00645161
227 240 0.0318021
228 154 0.0469799
228 20 0.0385965
228 113 0.0207612
228 98 0.0763636
228 173 0.003367
228 31 0.0278746
228 40 0.0330033
228 169 0.00680272
228 211 0.0567823
228 3 0.0364238
228 7 0.0102041
228 85 0.0207612
228 124 0.0609319
229 46 0.0408922
229 33 0.0236486
229 55 0.024735
229 165 0.0302013
230 97 0.0545455
230 116 0.0392857
230 88 0.057971
230 130 0.0174825
230 66 0.0358423
230 5 0.0902256
230 215 0.0876494
231 116 0.0371622
231 227 0.0233333
232 191 0.0685484
232 186 0.0426357
232 238 0.0792952
232 137 0.0248227
233 145 0.011194
233 146 0.0246479
